Column,Q1-2016,%,Q1-2015,%,FY - 2015,Column
Normal,"192,737.83",88.2%,"168,567",89.8%,"192,513",87.5%
Watch,"17,279.06",7.9%,"11,443",6.1%,"19,352",8.8%
Substandard,"4,197.29",1.9%,"3,245",1.7%,"3,305",1.5%
Doubtful,"3,738.36",1.7%,"3,780",2.0%,"4,188",1.9%
Loss,645.94,0.3%,719,0.4%,696,0.3%
TOTAL,"218,598.48",100,"187,754",100%,"220,055",100%
