"Computer
software",Business Rights,"Other
intangible
assets","Work-in-
progress",Total
KShs’000,KShs’000,KShs’000,KShs’000,KShs’000
"5,477,772","154,174","25,000","605,495","6,262,441"
"1,260,183",-,-,"506,838","1,767,021"
"860,060",-,-,"(860,060)",-
"(671,564)",-,-,-,"(671,564)"
"137,658","128,431",-,-,"266,089"
"7,064,109","282,605","25,000","252,273","7,623,987"
"3,430,184","124,240",-,-,"3,554,424"
"967,586",,-,-,"967,586"
"118,511","158,365",-,-,"276,876"
"4,516,281","282,605",-,-,"4,798,886"
"2,547,828",-,"25,000","252,273","2,825,101"
