ASSET BOOK,KSh million,%
"Corporate 25,166 20.24%",,
"Mortgage 8,442 6.79%",,
"MCU 3,888 3.12%",,
"SME 6,423 5.17%",,
"Asset Finance 5,823 4.68%",,
"Personal, card&other retail 51,900 41.75%",,
"Agri-business 4,844 3.89%",,
"Sacco Banking Loans 17,789 14.36%",,
"Total (gross) 124,275 100%",,
