Kenya,South Sudan,Total
KShs’000,KShs’000,KShs’000
"44,360,272","266,726","44,626,998"
"(12,600,741)","(39,637)","(12,640,378)"
"31,759,531","227,089","31,986,620"
"15,447,631","762,280","16,209,911"
"47,207,162","989,369","48,196,531"
