"Freehold
land &
buildings","Capital
work-in
progress",Fixtures,"Office
machinery,
furniture &
equipment","Motor
vehicles",Computers,Total
KShs’000,KShs’000,KShs’000,KShs’000,KShs’000,KShs’000,KShs’000
"3,139,309","590,766","9,357,535","3,364,621","193,396","8,196,469","24,842,096"
-,"47,986","288,245","61,921","4,507","220,027","622,686"
-,-,"(22,285)","(157,570)",(708),"(27,052)","(207,615)"
"(22,700)",-,-,-,-,-,"(22,700)"
-,"(266,469)","149,275","1,892",-,"115,302",-
-,,"12,784","(12,784)",-,-,-
-,"94,601",-,-,-,-,"94,601"
"(1,536)",-,"(1,830,509)",-,"(53,767)","(185,965)","(2,071,777)"
-,-,-,-,-,125,125
"3,115,073","466,884","7,955,045","3,258,080","143,428","8,318,906","23,257,416"
"103,791",-,"7,781,290","2,381,410","111,287","6,524,724","16,902,502"
"103,791",-,"426,390","340,361","32,305","583,502","1,486,349"
-,-,"(18,285)","(137,795)",(708),"(27,027)","(183,815)"
-,-,"11,822","(11,822)",-,-,-
-,-,-,-,-,125,125
-,-,"(1,133,279)",-,"(36,495)","(167,719)","(1,337,493)"
"207,582",-,"7,067,938","2,572,154","106,389","6,913,605","16,867,668"
"2,907,491","466,884","887,107","685,926","37,039","1,405,301","6,389,748"
