Our customers,Column
"Over 8.8 Million growing direct account holders
Over 5 Million Mcoop Cash Customers
Over 115,000Internet banking Customers
Over 1.3 Million Saccolink Customers
Over 16,000 Diaspora Banking Customers
Over 1.7 million Facebook followers
Over 471,000 Twitter followers
Instagram followers, You Tube subscribers
Telegram self service customers",
,Over 8.8 Million growing direct account holders
,Over 5 Million Mcoop Cash Customers
,"Over 115,000Internet banking Customers"
,Over 1.3 Million Saccolink Customers
,"Over 16,000 Diaspora Banking Customers"
,Over 1.7 million Facebook followers
,"Over 471,000 Twitter followers"
,"Instagram followers, You Tube subscribers"
,Telegram self service customers
