Notes,"2022
KShs‘000","2021
KShs‘000"
,"19,635,623","15,598,263"
43,"(7,598,110)","(405,484)"
,"269,973",-
,"(80,992)",-
,"(7,409,129)","(405,484)"
,"(7,409,129)","(405,484)"
,"12,226,494","15,192,779"
