Column,Q22017,Q22016,FY2016
Core Capital / Total Deposits (10.5%),19.5%,16.9%,19.7%
Core Capital / Total Risk weighted Assets (10.5%),15.9%,15.2%,16.1%
Total Capital / Total Risk Weighted Asset (14.5%),22.8%,20.2%,22.7%
Coverage (Loan loss prov+int in sus /Gross NPL) -IFRS,39.9%,41.8%,38.1%
Coverage(Loss loan+int in sus+gen prov)/Gross NPL- CBK,68.1%,76.3%,65.4%
Liquidity (20%),34.7%,41.0%,33.2%
NPL / Total Loans,4.5%,4.1%,4.3%
Loans to Deposits,88.0%,79.2%,89.9%
Loans to Deposits & Borrowed Fund,81.1%,75.2%,83.6%
