Column,Q1 - 2016,Q1 - 2015,FY - 2015
Cost to Income(Excluding Provisions),45.0%,45.3%,53.2%
Cost to Income (Including Provisions),51.0%,49.4%,58.8%
Cost of funds,5.7%,4.03%,5.2%
Staff Cost to Total Income,21.3%,21.7%,24.5%
Debt to Equity,35.8,38.9%,38.4%
Average Return on Equity,26.8%,29%,25%
Average Return on assets,4.2%,4.6%,3.7%
FX to Non Funded income,14.4%,15.8%,24.2%
Non - Funded to Total Income,33.8%,32.9%,36.2%
Net Interest Margin,11%,10.3%,11.7%
Effective Corporate Tax Rate,30.0%,30.0%,30.0%
