USD,GBP,EURO,JPY,CHF,ZAR,OTHERS,TOTAL
113.1412,152.0538,127.9932,0.983024,123.8207,7.1133,-,
KShs‘000,KShs‘000,KShs‘000,KShs‘000,KShs‘000,KShs‘000,KShs‘000,KShs‘000
"28,904,562","913,935","1,844,091","63,180","50,922","43,522","515,681","32,335,893"
"25,043,152","124,532","21,361",-,-,-,-,"25,189,045"
"2,384,194","30,243","7,715",-,-,-,"2,216","2,424,368"
"56,331,908","1,068,710","1,873,167","63,180","50,922","43,522","517,897","59,949,306"
"27,408,468","828,275","3,239,140",-,-,-,"281,514","31,757,397"
"83,740,376","1,896,985","5,112,307","63,180","50,922","43,522","799,411","91,706,703"
"23,212,891","1,051,209","2,331,614","71,386","6,810",997,"1,984","26,676,891"
"19,560,657",-,-,-,-,-,-,"19,560,657"
"4,266,560","12,385","(272,253)",-,-,-,"1,278","4,007,970"
"47,040,108","1,063,594","2,059,361","71,386","6,810",997,"3,262","50,245,518"
"37,238,881","836,742","3,040,498",-,-,"45,169","787,011","41,948,301"
"84,278,989","1,900,336","5,099,859","71,386","6,810","46,166","790,273","92,193,819"
"(538,613)","(3,351)","12,448","(8,206)","44,112","(2,644)","9,138","(487,116)"
