2020,2019,2020,2019
KShs’000,KShs’000,KShs’000,KShs’000
"4,111,011","6,547,494","3,917,800","6,282,524"
-,-,-,-
-,-,-,-
"(642,026)","(152,988)","(676,438)","(211,887)"
"3,468,985","6,394,506","3,241,362","6,070,637"
"24,353","303,280","29,805","294,555"
-,-,-,-
"4,111,011","6,547,494","3,917,800","6,282,523"
"(4,801,866)","(6,826,421)","(4,645,404)","(6,547,273)"
"(666,502)","24,353","(697,799)","29,805"
"14,319,820","20,705,754","16,960,630","20,326,064"
"3,579,955","6,211,726","4,240,158","6,097,819"
"(26,821)","(12,011)",-,-
"1,780","3,770",-,-
"(375,396)","184,098",-,-
"289,467","6,923","(998,796)","(27,182)"
"3,468,985","6,394,506","3,241,362","6,070,637"
