Kshs. Billions (except for EPS),Q12017,Q12016,% Change (Y/Y),Column,FY2016
Interest Income,9.5,10.7,-10.8%,,42.3
Interest Expense,2.8,3.9,-26.9%,,12.8
Net Interest Income,6.7,6.8,-1.6%,,29.5
Fees & Commissions,2.6,2.4,5.9%,,9.8
Forex Income,0.6,0.5,12.5%,,1.8
Other Income,0.3,0.5,-52.3%,,1.2
Total Operating Income,10.1,10.3,-1.8%,,42.3
Loan Loss Provision,0.8,0.6,20.0%,,2.6
Staff Costs,2.3,2.2,7.0%,,9.4
Other Operating Expenses,2.5,2.4,2.6%,,12.6
Profit Before Tax and Exceptional Items,4.5,5.0,-10.4%,,17.6
Exceptional Items,-,-,-,-,0.004
Share of profit of associate,0.0,-0.1,114.4%,,0.1
Profit Before Tax,4.5,4.9,-8.7%,,17.7
Tax,1.3,1.5,-14.8%,,5.0
Profit After Tax,3.2,3.4,-6.0%,,12.7
Basic EPS,0.66,0.70,-6.0%,,2.6
