"7,278,636","208,273","7,486,909","6,799,021","208,273","7,007,294"
"2,869,518","69,902","2,939,420","2,483,392","69,902","2,553,294"
"(2,030)",–,"(2,030)",–,–,–
"(54,627)",–,"(54,627)",–,–,–
"10,091,497","278,175","10,369,672","9,282,413","278,175","9,560,588"
"4,667,789","160,983","4,828,772","4,429,102","160,983","4,590,085"
"1,411,955","47,840","1,459,795","1,314,614","47,840","1,362,454"
"2,030",–,"2,030",–,–,–
"6,081,774","208,823","6,290,597","5,743,716","208,823","5,952,539"
"4,009,723","69,352","4,079,075","3,538,697","69,352","3,608,049"
"7,485,197","208,273","7,693,470","6,717,258","208,273","6,925,531"
"121,474",–,"121,474","81,763",–,"81,763"
"(328,035)",–,"(328,035)",–,–,–
"7,278,636","208,273","7,486,909","6,799,021","208,273","7,007,294"
"3,628,076","108,950","3,737,026","3,404,727","108,950","3,513,677"
"1,113,271","52,033","1,165,304","1,024,375","52,033","1,076,408"
"(45,749)",–,"(45,749)",–,–,–
"4,695,598","160,983","4,856,581","4,429,102","160,983","4,590,085"
"2,583,038","47,290","2,630,328","2,369,919","47,290","2,417,209"
