Column,"Actual
Q22019",Actual FY 2018,"Projections
FY 2019"
Profit Before Tax Growth,5%,10.7%,11%
Loans & Advances Growth,2.6%,-3.3%,11%
Deposits Growth,8.3%,6.5%,10%
Cost to Income Ratio,49.6%,54.6%,50%
Non Funded to Total Income,38.0%,28.2%,38%
Return On Average Equity (ROAE),21.5%,18.3%,22%
Return On Average Assets (ROAA),3.6%,3.2%,3.6%
Non Performing Loans (NPL),10.9%,11.1%,9%
Cost of average funds including borrowed funds,3.7%,3.8%,3.7%
Net Interest Margin (NIM),7.8%,9.4%,8.0%
Cost of risk,0.9%,0.7%,1%
