Notes,"2023
KShs‘000","2022
KShs‘000"
44,"51,114,979","12,945,910"
25(b),"(9,691,485)","(9,531,523)"
,"41,423,494","3,414,387"
19(a),"(1,588,272)","(1,443,006)"
17(a),"(1,136,938)","(895,273)"
,"2,629","22,606"
14,"(74,008,250)","(62,013,190)"
14,"57,180,099","64,744,331"
,"(19,550,732)","415,468"
24,"16,030,174","7,281,733"
24,"(8,200,095)","(4,891,074)"
,"(8,800,770)","(5,867,180)"
20(ii),"(1,284,558)","(1,131,370)"
20(ii),"(377,494)","(200,154)"
,–,"136,774"
,"(2,632,743)","(4,671,271)"
,"19,240,019","(841,416)"
,"20,666,001","21,782,133"
,"153,195","(274,716)"
44,"40,059,215","20,666,001"
