DEVELOPMENT PARTNER,2Q2017,2Q2016,PURPOSE
IFAD,30.00,30.00,"To finance the Eastern Province Horticultural
and Traditional Food crops project"
EUROPEAN INVESTMENT BANK,"1,628.92","2,713.25",To fund SMEs
AFD,"3,826.60","3,375.63","To fund energy efficient and renewable energy
projects"
"INTERNATIONAL FINANCE
CORPORATION(IFC)","13,674.50","4,399.88","To fund SME’s and agribusiness, construction
and mortgage segments"
D.E.G -(K.F.W),"3,799.26","4,764.25",To finance SME and Corporate customers
GOVERNMENT OF KENYA,-,62.50,Informal Sector Enterprises
TOTAL,"22,959.27","15,345.51",
