Kenya,South Sudan,Total
KShs’000,KShs’000,KShs’000
"48,564,516","276,129","48,840,645"
"(12,769,157)","(22,248)","(12,791,405)"
"35,795,359","253,881","36,049,240"
"16,075,218","1,405,506","17,480,724"
"51,870,577","1,659,387","53,529,964"
"(2,648,071)","(356,760)","(3,004,831)"
"(950,182)","(18,014)","(968,196)"
"(32,246,599)","(1,084,020)","(33,330,619)"
-,"(1,794,519)","(1,794,519)"
"16,025,725","(1,593,926)","14,431,799"
"(88,424)","(61,515)","(149,939)"
"15,937,301","(1,655,441)","14,281,260"
"(3,563,526)","94,541","(3,468,985)"
"12,373,775","(1,560,900)","10,812,875"
"521,734,107","2,533,546","524,267,653"
"6,907,716","5,900,950","12,808,666"
"528,641,823","8,434,496","537,076,319"
"440,315,029","5,137,952","445,452,981"
"88,326,794","3,296,544","91,623,338"
