William Mayar Wol*,Chairman
Elijah Wamalwa,Managing Director
Prof. Mathew Gordon Udo*,
Hon. Wani Buyu Dyori*,Retired on 8th November 2018
Hon. Ocum Genes Karlo*,Appointed on 8th November 2018
John K Murugu OGW,
"Macloud Malonza, HSC",
"Dr. Gideon Muriuki, CBS, MBS",
Rosemary Majala Githaiga (Mrs),
