Other key ratios,2016,2015,2014,2013,2012
Total asset growth rate,3%,20%,23%,15%,19%
Loan growth rate,14%,16%,31%,15%,9%
Earning growth rate,8%,46%,-12%,18%,44%
Customer Deposit Growth rate,-2%,22%,24%,8%,14%
