GROUP,Column,KINGDOM BANK,Column,CO-OP BANK
30-Jun-22,"31-Mar-22 31-Dec-21 30-Jun-21
KSHS.'000 KSHS.'000 KSHS.'000
(Un-audited) Audited (Un-audited)",30-Jun-22,"31-Mar-22 31-Dec-21 30-Jun-21
KSHS.'000 KSHS.'000 KSHS.'000
(Un-audited) Audited (Un-audited)",30-Jun-22
KSHS.'000,,KSHS.'000,,KSHS.'000
(Un-audited),,(Un-audited),,(Un-audited)
,"10,456,019 9,043,810 9,558,489
17,147,200 21,784,667 27,886,886
- - -
- - -
75,778,680 76,223,893 82,620,456
- - -
107,583,867 107,837,175 99,332,570
1,675,148 1,701,775 1,423,425
11,295,133 1,901,445 6,167,451
2,804,249 6,634,528 6,819,439
32,274 339,800
324,483,412 310,195,297 301,191,046
- - -
2,298,381 2,146,675 1,760,538
- - -
- - -
- - -
8,573,681 10,288,503 9,575,904
33,150 33,303 33,608
6,822,712 5,828,335 6,813,477
5,746,502 5,360,047 4,328,844
- - -
22,255,177 20,792,531 15,156,686",,"340,423 320,089 284,742
220,353 329,114 345,984
- - -
- - -
885,746 294,557 699,222
- - -
23,510,426 23,356,065 22,865,026
- - -
15,765 248,804 32,173
71,410 69,712 51,503
109 109 109
4,645,126 4,432,541 4,912,767
- - -
13,215 13,215 16,087
6,139 1,139 1,139
- - -
- - -
965,850 978,750 1,019,356
- - -
37,440 29,965 29,908
225,507 225,506 297,764
- - -
1,072,324 1,391,102 1,493,704",
"9,771,227",,"422,534",,"6,636,371"
"17,285,768",,"267,324",,"17,018,444"
-,,-,,-
-,,-,,-
"82,852,972",,"3,899,288",,"78,953,684"
-,,-,,-
"100,343,765",,"19,542,318",,"80,801,447"
"1,733,472",,-,,"1,716,672"
"9,618,217",,"409,219",,"7,500,016"
"5,535,178",,"23,446",,"5,818,893"
"373,053",,109,,"341,192"
"330,056,251",,"4,706,082",,"323,940,589"
-,,-,,-
"2,209,094",,"13,215",,"706,444"
-,,"6,039",,"3,884,925"
-,,-,,-
-,,-,,-
"8,301,176",,"958,740",,"7,070,274"
"32,998",,-,,"32,998"
"7,324,097",,"46,375",,"3,940,532"
"6,051,928",,"225,507",,"5,685,894"
-,,-,,-
"22,432,592",,"1,490,414",,"19,458,845"
"603,921,788","596,985,586 579,771,985 573,008,622","32,010,609","32,009,833 31,690,666 32,049,485","563,507,219"
,"- -
410,825,409 407,725,765 407,686,001
5,729,920 792,102 4,019,222
631,158 - 240,694
- - -
43,279,164 42,914,622 44,428,465
- - -
3,056,176 903,763 -
- - -
5,205 - 43,513
- - -
30,361,262 26,689,802 23,991,441",,"1,685,565 1,734,856 1,980,377
6,897,305 6,380,193 5,241,603
- - -
- - -
- - -
21,102,121 21,213,996 20,983,452
- - -
- - -
- - -
- - -
- - -
842,442 477,529 1,301,515",
-,,"1,678,884",,-
"423,031,281",,"7,504,009",,"412,785,740"
"6,899,114",,-,,"6,899,114"
"3,987,489",,-,,"4,058,805"
-,,-,,-
"41,357,102",,"21,160,566",,"18,680,294"
-,,-,,-
"29,796",,-,,-
-,,-,,-
"5,205",,-,,-
-,,-,,-
"31,624,179",,"349,337",,"29,695,306"
"506,934,166","493,888,294 479,026,054 480,409,335","30,692,795","30,527,433 29,806,575 29,506,946","472,119,259"
,"5,867,180 5,867,180 5,867,180
1,911,925 1,911,925 1,911,925
1,360,457 1,401,443 1,280,602
90,074,475 84,225,180 81,717,014
640,521 624,079 4,461
(3,426,006) (81,009) 1,422,205
5,867,180 5,867,180 -
401,844 406,463 415,701",,"1,867,947 1,867,947 1,867,947
3,087,449 3,087,449 3,087,449
- - -
(3,572,744) (3,772,019) (2,527,755)
692,878 690,045 -
(593,130) 10,669 114,897
- - -
- - -",
"5,867,180",,"1,867,947",,"5,867,180"
"1,911,925",,"3,087,449",,"1,911,925"
"1,360,457",,-,,"1,281,592"
"95,529,427",,"(3,366,150)",,"89,809,333"
"363,528",,"386,296",,-
"(8,703,461)",,"(657,728)",,"(7,879,295)"
-,,-,,-
"397,225",,-,,"397,225"
"96,726,281","102,697,576 100,222,441 92,619,088","1,317,814","1,482,400 1,884,091 2,542,539","91,387,961"
"261,343","399,718 523,490 (19,800)",-,- -,-
"603,921,788","596,985,586 579,771,985 573,008,622","32,010,609","32,009,833 31,690,666 32,049,485","563,507,219"
30-Jun-22,"31-Mar-22 31-Dec-21 30-Jun-21
KSHS.'000 KSHS.'000 KSHS.'000
(Un-audited) Audited (Un-audited)
8,976,011 36,508,393 16,917,870
4,942,575 18,728,870 8,825,600
82,641 410,882 181,661
- - 34,806",30-Jun-22,"31-Mar-22 31-Dec-21 30-Jun-21
KSHS.'000 KSHS.'000 KSHS.'000
(Un-audited) Audited (Un-audited)
67,228 507,488 406,699
686,564 2,630,661 1,271,685
1,735 20,104 11,563
- - -",30-Jun-22
KSHS.'000,,KSHS.'000,,KSHS.'000
(Un-audited),,(Un-audited),,(Un-audited)
"18,508,399",,"150,060",,"18,233,525"
"9,877,949",,"1,376,091",,"8,501,858"
"187,838",,"2,480",,"112,046"
-,,-,,-
"28,574,186","14,001,227 55,648,145 25,959,937","1,528,631","755,528 3,158,253 1,689,947","26,847,429"
,"3,275,431 13,330,376 6,397,074
5,894 189,705 23,999
347,266 1,091,150 707,168",,"111,762 400,584 194,191
183 716 644
6,522 39,024 7,557",
"6,776,844",,"229,058",,"6,545,746"
"35,239",,"1,494",,"33,745"
"706,790",,"12,391",,"694,399"
"7,518,872","3,628,590 14,611,231 7,128,241","242,943","118,467 440,324 202,392","7,273,890"
"21,055,313","10,372,637 41,036,913 18,831,696
2,589,534 5,421,033 2,708,008
2,777,342 9,812,650 5,262,734
766,774 2,849,297 1,324,426
1,496 1,444 108
273,337 1,311,929 1,028,316","1,285,688","637,061 2,717,929 1,487,555
10,312 18,635 5,670
25,759 95,298 44,760
6,719 5,544 3,455
- - -
1,280 (30,473) 288,119","19,573,539"
"5,515,036",,"24,304",,"5,490,732"
"5,388,048",,"51,438",,"4,147,024"
"1,960,998",,"17,076",,"1,858,717"
"2,993",,-,,-
"431,814",,"4,122",,"346,611"
"13,298,888","6,408,483 19,396,354 10,323,593","96,940","44,070 89,004 342,004","11,843,084"
"34,354,201","16,781,120 60,433,268 29,155,289
-
1,543,877 7,929,256 4,158,258
3,510,928 13,322,738 6,506,281
21,749 199,329 94,122
249,848 1,009,559 456,917
637,704 2,698,275 1,281,002
189,592 782,850 386,952
2,870,357 12,147,979 5,812,365","1,382,628","681,131 2,806,933 1,829,559
24,884 168,053 391,675
169,316 303,107 199,434
2,141 7,539 1,689
8,596 35,471 17,112
10,332 51,825 26,382
5,025 10,893 10,950
261,563 1,717,605 907,303","31,416,623"
"3,344,847",,"(170,803)",,"3,494,900"
"7,068,086",,"298,513",,"6,431,823"
"122,766",,"4,504",,"93,391"
"474,304",,"17,548",,"402,475"
"1,154,455",,"20,580",,"1,077,613"
"390,949",,"9,898",,"371,733"
"6,603,195",,"796,521",,"5,512,580"
"19,158,602","9,024,056 38,089,985 18,695,896","976,760","481,857 2,294,492 1,554,545","17,384,513"
"15,195,599","7,757,064 22,343,283 10,459,393
- - -
32,113 305,579 64,903","405,867","199,274 512,441 275,014
- - -
- - -","14,032,110"
-,,-,,-
"87,913",,-,,-
"15,283,512","7,789,177 22,648,862 10,524,296","405,867","199,274 512,441 275,014","14,032,110"
"4,429,260","2,260,931 7,221,238 3,158,716
(306,976) (1,116,278) -",-,"- 14,648 -
- - -","4,209,633"
"(613,953)",,-,,"(603,672)"
"11,468,205","5,835,223 16,543,902 7,365,580","405,867","199,274 497,793 275,014","10,426,149"
,"- 79,720 -
(3,461,275) (559,225) 1,683,069
- - -
- (75,670) -
- - -",,"- - -
(603,799) (104,228) 943,387
- - -
- - -
- - -",
-,,-,,-
"(5,893,493)",,"(668,397)",,"(5,224,216)"
-,,-,,-
-,,-,,-
-,,-,,-
"(5,893,493)","(3,461,275) (555,175) 1,683,069","(668,397)","(603,799) 393,565 943,387","(5,224,216)"
"5,574,712","2,373,948 15,988,727 9,048,649","(262,530)","(404,525) 393,565 1,218,401","5,201,933"
1.95,,-,,1.78
1.95,,-,,1.78
-,,-,,-
