Co-op Bank South Sudan,Column,Column,Column
,Full BOD,Audit,Risk & Finance
Schedule of meetings:,,,
"S. C. Muchiri, EBS - Group Chairman",3,1,
J. Riungu - Vice Chairman,4,,1
"Dr. G. Muriuki, MBS - Group Managing
Director & CEO",3,1,1
Zachary Chianda - Managing Director,4,1,1
Prof. Mathew Gordon Udo,4,1,
Wani Buyu Dyori,3,,
Rosemary Githaiga,3,1,1
Eng. William Wol Maya,,,1
