USD,GBP,EURO,JPY,CHF,ZAR,OTHERS,TOTAL
101.34,132.94,113.37,0.93,104.31,7.19,-,
KShs`000,KShs`000,KShs`000,KShs`000,KShs`000,KShs`000,KShs`000,KShs`000
"22,354,072","519,498","3,100,184","77,477","34,994","23,289","756,380","26,865,894"
"27,956,198","142,832","194,036",-,-,-,-,"28,293,066"
"2,004,295","24,008",14378,-,-,(32),"11,919","2,054,568"
"52,314,565","686,338","3,308,598","77,477","34,994","23,257","768,299","57,213,528"
"30,798,927","113,886","7,705,498",-,-,-,"149,332","38,767,643"
"83,113,492","800,224","11,014,096","77,477","34,994","23,257","917,631","95,981,171"
"18,618,347","316,416","3,983,594","76,922","11,366","1,372","1,957","23,009,974"
"21,821,514",-,-,-,-,-,-,"21,821,514"
"975,078","9,833","11,854",-,-,-,"2,627","999,392"
"41,414,939","326,249","3,995,448","76,922","11,366","1,372","4,584","45,830,880"
"41,624,327","468,299","7,113,012",-,-,"22,162","861,320","50,089,120"
"83,039,266","794,548","11,108,460","76,922","11,366","23,534","865,904","95,920,000"
"74,226","5,676","(94,364)",555,"23,628",(277),"51,727","61,171"
