"Available
immediately
and up to
1 month",1-3 months,3-12 months,1-5 years,Over 5 years,"Non- interest
bearing",Total
KShs‘000,KShs‘000,KShs‘000,KShs‘000,KShs‘000,KShs‘000,KShs‘000
"368,800",-,-,-,-,"27,737,488","28,106,288"
"8,741,285","976,139",-,-,-,"266,355","9,983,779"
"4,959,477","3,254,725","7,685,304","60,419,702","98,833,562",-,"175,152,770"
"10,333,127","10,096,183","32,625,925","127,886,810","158,447,994",-,"339,390,039"
"24,402,689","14,327,047","40,311,229","188,306,512","257,281,556","28,003,843","552,632,876"
"1,087,501",-,-,-,-,-,"1,087,501"
"73,167,300","56,716,641","47,767,923","1,834,076",-,"244,316,728","423,802,668"
"2,605,419","18,220","2,451,578","10,896,185","11,170,670","20,960,000","48,102,072"
"77,354","154,484","720,268","1,140,208","1,098,902",-,"3,191,216"
"76,937,574","56,889,345","50,939,769","13,870,469","12,269,572","265,276,728","476,183,457"
"(52,534,885)","(42,562,298)","(10,628,540)","174,436,043","245,011,984","(237,272,885)","76,449,419"
