2011,Column,Column
NAME,NO. OF SHARES,%
1 Co-opholdings Co-operative Society Limited,"2,254,592,500",64.56
2 Dr. Gideon Maina Muriuki,"50,121,000",1.43
3 NIC Custodial Services A/C 077,"27,789,300",0.8
4 Kenya Commercial Bank Nominees Limited A/C 771A,"26,616,500",0.76
5 Co-operative Bank SACCO Limited,"16,723,800",0.48
6 Standard Chartered Nominees A/C 9230,"15,976,800",0.46
7 CfC Stanbic Nominees Kenya Ltd A/C R57601,"12,629,900",0.36
8 CFC Stanbic Nominees Kenya Ltd A/C NR1030682,"10,012,920",0.29
9 Insurance Company of East Africa Limited - Pooled,"8,966,100",0.26
10 Standard Chartered Nominees A/C 9098AC,"8,906,000",0.25
TOTAL,"2,432,334,820",69.65
