New standards or amendments,Effective date
"Sale or Contribution of Assets between an Investor and its Associate or Company (Amend-
ments to IFRS 10 and IAS 28)",To be determined
Classification and Measurement of Financial Instruments - Amendments to IFRS 9 and IFRS 7,1 January 2026
"IFRS 18, ‘Presentation and Disclosure in Financial Statements’",1 January 2027
"IFRS 19, ‘Subsidiaries without Public Accountability: Disclosures’",1 January 2027
Lack of exchangeability – Amendments to IAS 21,1 January 2025
Power Purchase Agreements – Amendments to IFRS 9 and IFRS 7,1 January 2026
Annual Improvements to IFRS Accounting Standards— Volume 11,1 January 2026
