Balance Sheet Ksh. Billions,FY2023,FY2022,% Growth
Total Assets,671.1,607.2,10.5%
Net Loan book,374.2,339.4,10.3%
Government Securities,189.0,173.3,9.1%
Total Deposits,456.1,424.9,7.3%
Borrowed Funds,67.3,48.1,40.0%
Shareholder's Funds,113.6,107.7,5.5%
