"Kingdom Bank
Limited
2022","Kingdom
Securities
Limited
2022","Co-operative
Bank of South
Sudan
2022"
KShs‘000,KShs‘000,KShs‘000
"3,656,457","117,795","985,606"
"(598,291)","(23,797)","(13,666)"
"3,058,166","93,998","971,940"
"(2,265,610)","(83,340)","(741,021)"
-,-,"(116,090)"
"792,556","10,658","114,829"
-,-,"17,896"
"123,434","(4,863)","100,654"
"915,990","5,795","233,379"
"(996,589)","(8,540)","26,869"
"(80,599)","(2,745)","260,248"
"91,599","2,318","114,356"
