Kshs. Billions (except for EPS),Q1 - 2016,Q1 - 2015,"% Change
(Y/Y)","FY 2015
(audited)"
Interest Income,10.7,8.17,31%,36.8
Interest Expense,3.9,2.3,67%,13.6
Net Interest Income,6.8,5.8,16%,23.2
Fees & Commissions,2.4,2.3,6%,9.5
Forex Income,0.5,0.45,10%,3.2
Total Income,10.3,8.7,18%,36.4
Loan Loss Provision,0.63,0.35,79%,2
Staff Costs,2.2,1.9,16%,9.1
Total Operating Expenses,5.2,4.3,22%,21.4
Profit Before Tax,4.9,4.5,10%,15.4
Profit After Tax,3.4,3.2,8%,11.7
Basic EPS,0.70,0.65,8%,2.3
