Co-op Bank South Sudan,Column,Column,Column
,Full BOD,Audit,Risk & Finance
Schedule of meetings:,,,
ENG. William W. Mayar,5,,2
"John K. Murugu, OGW",5,2,
"Macloud Malonza, HSC",5,,2
"Dr. G. Muriuki, CBS, MBS – Group Managing Director & CEO",5,2,2
Elijah Wamalwa – Managing Director,5,2,2
Prof. Mathew Gordon Udo,5,2,
Wani Buyu Dyori,3,,
Rosemary M. Githaiga (Mrs.),3,,
Hon. Ocum Genes Karlo,2,,
