"(5,389,407)",Column,"(146,792)",Column,-,Column,Column,Column,-,Column,Column,Column,"(5,242,615)",Column,Column,"(259,179)",Column,Column,-,Column,Column
"530,774",,-,,-,,,,"(9,322)",,,,"540,096",,,-,,,"(9,322)",,
"(611,437)",,"75,070",,-,,,,-,,,,"(686,507)",,,"249,971",,,-,,
"(31,779)",,"(31,779)",,-,,,,-,,,,-,,,"(17,082)",,,-,,
"(129,077)",,"16,030",,-,,,,-,,,,"(145,107)",,,"3,693",,,-,,
"258,552",,(509),,-,,,,-,,,,"259,061",,,"442,527",,,-,,
"(1,576,585)",,"(464,238)",,"(38,362)",,,,-,,,,"(1,073,985)",,,"(612,011)",,,-,,
"(6,948,959)",,"(552,218)",,"(38,362)",,,,"(9,322)",,,,"(6,349,057)",,,"(192,081)",,,"(9,322)",,
"(23,466)",,"(48,903)",,-,,,,-,,,,"25,437",,,-,,,-,,
"34,205",,"30,907",,-,,,,-,,,,"3,298",,,-,,,-,,
651,,"(58,447)",,-,,,,-,,,,"59,098",,,,,-,,,-
"106,571",,"185,202",,"(1,108)",,,,-,,,,"(77,523)",,,,,-,,,-
"117,961",,"108,759",,"(1,108)",,,,-,,,,"10,310",,,,,-,,,-
"(6,830,998)",,"(443,459)",,"(39,470)",,,,"(9,322)",,,,"(6,338,745)",,,,"(192,0",81),,"(9,32",2)
,,,,,,,,,,,,,,,,"23
Through
profit
or loss
Shs’000",,,"Throug
reserv
KShs’00",
,"(5,357,290)",,"(229,748)",,,-,,,,"(5,127,",,,542),(3,,"02,285)",,,,-
,"530,774",,-,,,"(9,322)",,,,,540,,",096",,,-,,,"(9,32",2)
,"(662,485)",,"101,363",,,-,,,,,"(763,848)",,,,,"273,577",,,,-
,-,,-,,,,,,-,,-,,,,,"(17,082)",,,,-
,"(82,003)",,"15,763",,,,,,-,,"(97,",,766),,,(932),,,,-
,"(129,832)",,"16,121",,,,,,-,,"(145,",,953),,,"4,051",,,,-
,"(1,130,823)",,"(562,46",,6),,,,-,,"(568,",,357),(4,,"67,418)",,,,-
,"(6,831,659)",,"(658,96",,7),,"(9,32",,2),,"(6,163,",,371),(5,,"10,089)",,,"(9,32",2)
,,,,,ions. Th,,ese ma,,inly inc,,lude ge,,neral a,nd spec,,ific bad,debts p,,rovisio,
