Column,Valuation Techique,Significant unobservable inputs,Range (Weighted Average)
Free hold land and building,DCF,"Estimated rental value per s.q.m.
per month",KShs. 30
,,Rent growth p.a.,3%
,,Long-term vacancy rate,5%
,,Discount rate,5%
Type of Financial Instrument,Fair value,Valuation technique,Significant inputs
Directors and staff loans,KShs. 4.811 M,Discounted cash flows,Market interest rate
Loans and borrowings,"KShs. 2,344 M",Discounted cash flows,Market interest rate
