"Available
immediately
and up to
1 month",1-3 months,3-12 months,1-5 years,Over 5 years,Total
KShs‘000,KShs‘000,KShs‘000,KShs‘000,KShs‘000,KShs‘000
"25,326,976","2,779,312",-,-,-,"28,106,288"
"8,494,680","1,489,099",-,-,-,"9,983,779"
"5,009,072","3,352,367","8,146,422","78,483,915","158,133,699","253,125,475"
"10,244,146","10,829,632","34,579,522","165,992,147","253,171,299","474,816,746"
"49,074,874","18,450,410","42,725,944","244,476,062","411,304,998","766,032,288"
"1,087,501",-,-,-,-,"1,087,501"
"318,933,072","57,425,599","47,874,106","2,063,336",-,"426,296,113"
"2,813,967",-,"4,615,757","20,751,160","24,815,559","52,996,443"
"79,246","156,948","808,987","1,215,363","1,448,892","3,709,436"
"7,292,749",-,"14,265,609",-,-,"21,558,358"
"330,206,535","57,582,547","67,564,459","24,029,859","26,264,451","505,647,851"
"(281,131,661)","(39,132,137)","(24,838,515)","220,446,203","385,040,547","260,384,437"
"3,444,430","15,591,516","20,930,455","1,799,652","26,088","41,792,141"
