Kshs. Billions,FY 2025,FY 2024,% Growth
Total Assets,827.4,743.2,11.3%
Net Loan book,421.0,373.7,12.7%
Government Securities,244.9,217.6,12.6%
Total Deposits,576.5,508.9,13.3%
Borrowed Funds,61.7,55.4,11.4%
Shareholder's Funds,165.5,145.4,13.8%
