Ownership,Principal,2020,2019
,Activity,KShs’000,KShs’000
100%,"Consultancy &
Insurance Agency","70,000","70,000"
100%,Fund management,"20,000","20,000"
60%,Brokerage Services,"150,000","150,000"
51%,Banking,"2,272,920","2,272,920"
90%,Banking,"1,000,000",-
,,"3,512,920","2,512,920"
