Column,WHAT WE DO
,"Providing financial solutions to individual customers,
Micro, Small and Medium Enterprises."
Retail and Business Banking Division,
Corporate and Institutional Banking Division,"Providing financial solutions to:
• Corporates • Parastatals
• Institutions • Non- Governmental Institutions
• Government • International Financial Institutions"
Co-operatives Banking Division,"Providing financial solutions to:
• Large Saccos • PSV/Transport Saccos
• Housing Saccos • Investment Saccos
• Agricultural and other • Housing Saccos
Co-operatives"
Kingdom Bank Ltd,A niche MSME Bank providing financial services.
Co-optrust Investment Services Ltd,Fund Management Services
"Coop Consultancy &
Bancassurance Intermediary Ltd","• Banc-Assurance Services
• Consultancy and capacity building services to
Co-operative Societies"
Kingdom Securities Ltd,Stock Brokerage Services
Co-op Bank Fleet Africa Leasing Limited,"Leasing Solutions to Retail, MSME’s, Corporates,
PSVs, Government and Non-Government"
