Notes,"2022
KShs‘000","2021
KShs‘000"
8,"24,307,459","27,511,150"
9,"6,836,863","6,970,086"
10(a),"83,381,239","84,481,110"
10(b),"313,157","309,038"
11,"206,725","199,765"
12,"27,424,048","18,441,628"
25(b),"326,217",-
13(a),"331,323,038","304,584,437"
14,"67,216,667","77,235,179"
15,"3,884,925","3,884,925"
16,"706,444","706,444"
17(b),"2,539,611","2,442,970"
18,"32,693","33,302"
19(b),"5,522,238","5,094,508"
20(i),"2,417,209","3,411,854"
21,"5,643,960","5,080,346"
,"562,082,493","540,386,742"
22,"981,637","754,572"
23(a),"410,187,854","398,686,293"
24,"24,884,464","20,144,729"
25(b),-,"907,798"
26,"271,581","173,617"
27,"24,496,596","24,800,210"
28,"387,989","406,465"
,"461,210,121","445,873,684"
29,"5,867,180","5,867,180"
30,"1,911,926","1,911,926"
31(a),"1,470,573","1,281,592"
31(b),"90,218,036","79,383,183"
31(c),"(7,396,113)","201,997"
31(d),-,-
32,"8,800,770","5,867,180"
,"100,872,372","94,513,058"
,"562,082,493","540,386,742"
