Column,Q3 2015,Q3 - 2014,FY 2014
Core Capital / Total Deposits (10.5%),16.4%,17.5%,17.0%
Core Capital / Total Risk weighted Assets (10.5%),14.2%,14.5%,14.6%
Total Capital / Total Risk Weighted Asset (14.5%),21.2%,22.4%,22.0%
Coverage (Loan loss prov+int in sus /Gross NPL) -IFRS,48.7%,34.1%,30%
Coverage(Loss loan+int in sus+gen prov)/Gross NPL- CBK,76.6%,58.2%,55%
Liquidity (20%),32.9%,30.7%,33.8%
NPL / Total Loans,3.4%,4.1%,4.1%
Loans to Deposits,85.4%,88.8%,84.7%
