"29,982,617","2,510,054",-,-,-,Column,Column,"32,492,671",Column,Column
"22,848,242","4,829,678",-,-,-,,,"27,677,920",,
"2,004,560","11,483,204","15,426,314","102,493,585","134,736,549",,,"266,144,212",,
"37,207,916","15,311,367","26,917,180","166,739,944","269,475,674",,,"515,652,081",,
"650,637",-,-,"6,227,396",-,,,"6,878,033",,
"92,693,972","34,134,303","42,343,494","275,460,925","404,212,223",,,"848,844,917",,
"5,752,083","628,047",-,-,-,,,"6,380,130",,
"335,563,894","60,106,605","57,023,492","328,632",-,,,"453,022,623",,
"4,874,105","59,049","2,356,896","14,440,318","60,796,745",,,"82,527,113",,
"115,456","282,716","1,206,657","1,878,575","1,970,623",,,"5,454,027",,
-,-,"1,396,103",-,,,-,"1,396,1",,03
"7,413,300",-,"3,088",-,,,-,,"7,416,3",88
"353,718,838","61,076,417","61,986,236","16,647,525",62,",767,36",8,55,"6,196,3",84
"(261,024,866)","(26,942,114)","(19,642,742)","258,813,400","341,","444,85",5,29,"2,972,5",33
"1,305,247","3,465,124","9,236,070","6,914,156",,"149,75",6,2,"1,070,3",54
