Column,Column,Independent,"Directors
in Coop
Holdings",Skills
1.,"John Murugu, OGW, Director, Independent, (71)",,,"• Banking
• Public Finance
• Organizational Change and Devel-
opment
• Business Administration
• Management Information Systems
• Strategic Planning
• Public Secretarial
• Public Secreatarial
• Strategic Leadership
• Corporate & institutional Banking
• Mathematics
• Bussines Management
• Coffee industry Management
• Human Resource Management
• Accounting
• Education Management
• Co-operative Management
• Tax
• Economics
• Foreign affairs
• Finance"
2.,"Macloud Malonza, MBS, HSC, Director (53)",,,
3.,"Dr. Gideon Muriuki, CBS, MBS, Group Managing
Director & CEO (57)",,,
4.,"Patrick K. Githendu, Director (68)",,,
5.,"Weda Welton (Mrs.) Director, Independent (63)",,,
6.,"Lawrence Karissa, Director, Independent (66)",,,
7.,"Julius Sitienei, Director (67)",,,
8.,"Benedict W. Simiyu, Director (60)",,,
9.,"Richard L. Kimanthi, Director (65)",,,
10.,"Wanyambura Mwambia, Principal Secretary -
National Treasury Appointee (66)",,,
11.,"Wilfred Ongoro HSC, Director (66)",,,
12.,"Godfrey K. Mburia, Director (65)",,,
13.,"Margaret Karangatha (Mrs.) Director,
Independent (61)",,,
