REAL GDP GROWTH,Column,Column,Column,Column
,ACTUAL,,2023 PROJECTION,
,2021,2022,JULY 2023.,"DIFFERENCE
FROM APRIL
2023"
World,6.3,3.5,3.0,0.2
Advanced Economies,5.4,2.7,1.5,0.2
United States,5.9,2.1,1.8,0.2
United Kingdom,7.6,4.1,0.4,0.7
Japan,2.2,1.0,1.4,0.1
Euro area,5.3,3.5,0.9,0.1
Germany,2.6,1.8,-0.3,-0.2
"Emerging Market and Developing
Economies",6.8,4.0,4.0,0.1
China,8.4,3.0,5.2,0.0
India,9.1,7.2,6.1,0.2
Russia,5.6,-2.1,1.5,0.8
Sub-Saharan Africa,4.7,3.9,3.5,-0.1
South Africa,4.7,1.9,0.3,0.2
Nigeria,3.6,3.3,3.2,0.0
Uganda,6.7,4.9,5.7,-0.2
Kenya,7.6,4.8,5.3,0.0
