Ksh. Billions (except for EPS ),Q3 - 2015,Q3 - 2014,"% Change
(Y/Y)","FY 2014
(audited)"
Interest Income,26.0,20.9,24.4%,29.4
Interest Expense,8.6,5.8,47.4%,8.1
Net Interest Income,17.4,15.0,15.6%,21.3
Fees & Commissions,7.1,6.8,4.3%,8.7
Forex Income,1.7,1.1,59.6%,1.4
Total Income,26.6,23.5,13.4%,32.1
Loan Loss Provision,1.5,0.75,103.1%,1.2
Staff Costs,5.9,6.3,-7.2%,8.5
Total Operating Expenses,14.6,14.4,1.1%,20.1
Profit Before Tax,12.2,9.1,33.2%,10.9
Profit After Tax,8.6,6.3,36.6%,8.0
Basic EPS,1.76,1.3,36.6%,1.6
