"Computer
Software","Work –in
rogress",Total
KShs’000,KShs’000,KShs’000
"5,310,859","191,814","5,502,673"
"651,534","505,854","1,157,388"
"188,496","(188,496)",-
"6,150,889","509,172","6,660,061"
"3,260,032",-,"3,260,032"
"700,218",-,"700,218"
"3,960,250",-,"3,960,250"
"2,190,639","509,172","2,699,811"
"3,504,212","1,281,726","4,785,938"
"323,902","394,918","718,820"
"1,482,745","(1,482,745)",-
-,"(2,085)","(2,085)"
"5,310,859","191,814","5,502,673"
"2,691,987",-,"2,691,987"
"568,045",-,"568,045"
"3,260,032",-,"3,260,032"
"2,050,827","191,814","2,242,641"
