Column,2021,2020,2021,2020
Note,KShs’000,KShs’000,KShs’000,KShs’000
,"22,648,863","14,281,860","21,325,327","16,960,630"
18,"1,486,349","1,687,344","1,162,788","1,323,247"
19,"1,268,050","1,317,487","1,196,802","1,196,781"
18,-,191,-,-
17,610,610,610,610
,-,-,-,-
16,"94,604","671,564",-,-
,"2,741,220","12,355,931","2,888,781","8,436,933"
25,"57,041","(34,601)","57,041","(31,198)"
,"2,439,530","611,507","2,441,266","580,990"
,"(97,904)","(2,525,555)","(124,228)","(2,521,148)"
16,"756,575","967,586","737,383","700,218"
27,"(18,476)","(18,475)","(18,476)","(18,475)"
,"(7,717)","(19,044)","(7,717)","(19,044)"
15,"(305,579)","149,939",-,-
19,"281,593","(299,727)","265,624","(280,573)"
23,"(1,249,607)","1,891,490","247,544","1,891,490"
23,"1,323,050","166,135","42,756","40,146"
,"23,587","1,794,519",-,-
,"30,440,241","32,998,761","29,213,951","28,260,607"
,"(26,302,325)","(32,277,427)","(26,951,042)","(23,626,333)"
,"(2,795,885)","(4,665,345)","(2,375,916)","(2,431,827)"
,"29,095,312","45,806,536","29,256,640","40,051,261"
,"570,212","44,915","99,614","(79,846)"
,"6,715,076","3,742,357","6,394,859","3,317,007"
,"(515,572)","590,134","(1,247,057)","1,592,777"
,"(24,313,435)","(21,808,986)","(23,170,879)","(21,264,251)"
,"(124,216)","304,196","(124,216)","304,196"
,"12,769,408","24,735,141","11,095,956","26,123,591"
,"9,043,810","8,607,089","8,120,024","7,891,150"
,"21,833,819","17,816,271","19,391,126","12,904,226"
,"8,555,669","16,916,543","6,970,157","16,382,696"
,"(667,838)","320,952","(667,838)","320,550"
,"38,765,460","43,660,855","33,813,469","37,498,622"
,"(16,983,327)","(16,467,755)","(16,712,169)","(15,465,112)"
,"21,782,133","27,193,100","17,101,300","22,033,510"
