31-Mar-24,"31-Dec-23 31-Mar-23
KSHS.'000 KSHS.'000
Audited (Un-audited)
44,853,706 10,020,829
23,132,315 5,131,145
1,080,048 418,368
- -",31-Mar-24,"31-Dec-23 31-Mar-23
KSHS.'000 KSHS.'000
Audited (Un-audited)
986,263 182,436
2,703,597 678,704
45,912 2,004
2,599 -",31-Mar-24
KSHS.'000,,KSHS.'000,,KSHS.'000
(Un-audited),,(Un-audited),,(Un-audited)
"12,446,509",,"342,313",,"11,980,954"
"6,231,005",,"663,197",,"5,567,808"
"736,436",,"15,986",,"393,975"
-,,-,,-
"19,413,950","69,066,068 15,570,342","1,021,496","3,738,371 863,144","17,942,737"
,"18,228,414 3,945,813
1,246,586 90,581
4,360,186 761,399
23,835,187 4,797,794",,"905,937 168,388
21,021 9,876
18,607 4,696
945,565 182,960",
"6,386,834",,"368,187",,"6,008,528"
"300,885",,"21,270",,"279,615"
"1,025,496",,"4,243",,"1,021,253"
"7,713,215",,"393,700",,"7,309,396"
"11,700,735","45,230,881 10,772,549","627,796","2,792,806 680,184","10,633,341"
,"12,254,271 3,389,850
10,125,725 2,497,700
3,181,189 1,103,458
333
900,563 107,649",,"154,457 35,550
191,763 36,560
105,366 36,595
-
15,498 300",
"2,891,917",,"32,944",,"2,858,973"
"2,565,206",,"44,061",,"2,104,610"
"1,443,762",,"15,504",,"1,301,402"
"8,317",,-,,-
"166,162",,"4,540",,"128,188"
"7,075,364","26,461,749 7,098,990","97,049","467,084 109,005","6,393,173"
"18,776,099","71,692,630 17,871,538","724,845","3,259,890 789,189","17,026,514"
,"6,008,159 1,532,442
16,690,247 3,960,762
264,494 29,491
779,080 278,133
2,744,813 598,214
978,732 215,000
12,208,981 3,201,428",,"320,933 12,071
552,297 183,380
10,486 2,560
47,526 10,619
50,076 12,602
15,346 5,055
1,199,694 306,647",
"1,592,947
4,461,272",,"(22,130)
208,709",,"1,606,691
4,020,724"
"31,734
281,367
630,838",,"2,990
15,779
12,792",,"14,657
258,466
602,711"
"267,164",,"5,055",,"260,204"
"2,598,910",,"159,970",,"2,224,377"
"9,864,232","39,674,506 9,815,469","383,165","2,196,358 532,934","8,987,828"
