Column,FY2017,%,FY 2016,%
Normal,"209,393",80%,"196,708",80%
Watch,"34,446",13%,"36,475",15%
Substandard,"9,934",4%,"5,857",2%
Doubtful,"8,273",3%,"4,741",2%
Loss,506,0%,675,0%
TOTAL,"262,552",100%,"244,456",100%
