Kshs. Billions (except for EPS),FY 2016,FY2015,% Change (Y/Y)
Interest Income,42.3,36.8,14.9%
Interest Expense,12.8,13.6,-6.0%
Net Interest Income,29.5,23.2,27.1%
Fees & Commissions,9.8,9.5,3.0%
Forex Income,1.8,3.2,-43.5%
Other Income,1.2,0.5,140.8%
Total Operating Income,42.3,36.4,16.2%
Loan Loss Provision,2.6,2.0,28.7%
Staff Costs,9.4,8.9,5.6%
Other Operating Expenses,12.3,10.5,17.1%
Profit Before Loss on Monetary Position,18.0,15.0,20%
less Loss on net monetary position,0.4,-,100%
Share of associate profit,0.1,0.4,75%
Profit before tax,17.7,15.4,15%
Tax,5.0,3.7,37.2%
Profit After Tax,12.7,11.7,8.5%
Basic EPS,2.6,2.4,10.3%
