Ksh. Billions,Q2-2015,Q2-2014,% Change (Yr/Yr),FY 2014
Total Assets,325.1,266.7,22%,285.4
Loan book (NET),204.8,165.8,24%,179.5
Government Securities,50.1,41.0,22%,40.7
Total Deposits,252.7,203.3,24%,220.9
No. of account holders (Millions),5.4,4.6,17.4%,5.1
Shareholders Funds,47.1,40.2,17.2%,43.3
