Column,Q1-2015,Column,Q1-2014,Column,FY - 2014,Column
Normal,"168,567",89.8%,"142,257",90.2%,"166,821",89.4%
Watch,"11,443",6.1%,"8,580",5.4%,"11,818",6.3%
Substandard,"3,245",1.7%,"2,999",1.9%,"3,382",1.8%
Doubtful,"3,780",2.0%,"2,717",1.7%,"3,837",2.1%
Loss,719,0.4%,"1,131",0.7%,763,0.4%
TOTAL,"187,754",100%,"157,684",100%,"186,622",100%
