"8,255,937","9,774,270","24,767,917",Column,Column,"42,798,124",Column,Column,Column
"2,047,547","9,769,147","4,184,954",,,,"16,001,64",,8
"(1,605,324)","(3,546,782)","(1,381",,",204)",,"(6,","533,310",)
"1,353,347","(1,140,979)",(212,,",368)",,,,-
"(1,111,291)","1,137,462",(26,,",171)",,,,-
"(3,661,439)","(3,991,807)","7,653",,",246",,,,-
-,"(156,260)","(2,140",,",201)",,"(2,","296,461",)
"(692,104)","(127,832)",,33,"7,166",,(,"482,770",)
"4,216,673","11,687,219",,"33,183",",339",,49,",087,23",1
"314,394,359","27,833,456",,"37,816",",895",,380,",044,71",0
,,,,mber 2,,024 an,d that,
