Strategic Themes,Key Strategic Performance Indicator,Key achievement
"Aggressive
deepening of our
dominance in the
Kenya Market","• Return on Average Assets (ROAA)
• Return on Average Equity (ROAE)
• Dividend per share
• Market share by asset size
• Market share by Deposit Book.
• Market share by Loan Book.
• Market Capitalization (Kshs. B)
• Market share for all business segments, product houses
and Channels.
• Transformation Project Initiatives Implementation.","• ROAA 3.3% (2018 3.2%)
• ROAE 18.9% (2018 18.1%)
• Dividend per share Kshs.1.00
• Marketshare top ten Banks ;
• Asset Size 2019 11%
• Customer Deposit 2019 11%
• Net Loans 2019 12%
• Market Capitalization Kshs. 95.5B (2018 83.3B)
• Our Market share for all business segments,
product houses and Channels maintained a
positive outlook.
• Most sustainable Bank (Kenya Bankers Catalyst
Awards 2019)
• We continued with Transformation, an
efficiency and growth project that we began
in 2014 and it continues to be a key strategic
enabler in every area of our Business. See the
section below for a details."
"Dominant provider
of financial
services to the
Co-operative
Movement in
Kenya and the
region","• Successful implementation of the Digital Co-operatives
project.
• Co-operatives deposit growth
• Co-operatives Loan book growth
• Co-operative Bank of South Sudan performance.","• Implementation of the Digital strategy for
Cooperatives is on track. We had specific focus
on co-operatives as detailed in the section
below on our Transformation Project.
• The Cooperatives deposits and loan book grew
in 2019
• Cooperative Bank of South Sudan PBT Kshs.
(-344.71M loss) (2018 loss Kshs. 16.42M)"
"Customer
experience that is
seamless across all
our touch points.","• Digitization of customer journeys.
• Staff training on DCE (Distinctive Customer Experience)
• Customer Centric Model","• We continued implementing key customer
journey digitization journeys to meet customer
expectations (89% of transactions were on
digital channels). Key customer project rolled
out was the Omnichannel (Discussed in the
Capitals Section of this report)
• Staff trained at our Leadership and
management Centre (LMC) 243 of them were
trained on Distinctive Customer Experience.
• We sustained our focus on customer centricity
in our business model."
