Notes,"2023
KShs‘000","2022
KShs‘000"
8,"28,015,013","24,307,459"
9,"21,729,052","6,836,863"
11,–,"206,725"
10(a),"84,804,458","83,381,239"
10(b),"313,755","313,157"
13(a),"360,387,386","331,323,038"
14,"84,345,718","67,216,667"
12,"21,145,427","27,424,048"
25(b),"790,836","326,217"
15,"3,884,925","3,884,925"
16,"706,444","706,444"
18,"32,083","32,693"
19(b),"5,732,438","5,522,238"
20(i),"3,608,049","2,417,209"
17(b),"2,595,668","2,539,611"
21,"6,163,371","5,643,960"
,"624,254,623","562,082,493"
22,"5,752,083","981,637"
23(a),"432,548,298","410,187,854"
11,"1,396,103",–
24,"47,086,007","24,884,464"
25(b),–,–
27,"30,637,174","24,496,596"
26,"274,687","271,581"
28,"369,513","387,989"
,"518,063,865","461,210,121"
29,"5,867,180","5,867,180"
30,"1,911,926","1,911,926"
31(a),"1,448,823","1,470,573"
31(b),"102,921,832","90,218,036"
31(c),"(14,759,773)","(7,396,113)"
31(d),–,–
32,"8,800,770","8,800,770"
,"106,190,758","100,872,372"
,"624,254,623","562,082,493"
