USD,GBP,EURO,JPY,CHF,ZAR,OTHERS,TOTAL
156.4618,199.8047,173.7797,1.1100,186.9094,8.4402,–,
KShs`000,KShs`000,KShs`000,KShs`000,KShs`000,KShs`000,KShs`000,KShs`000
"17,208,618","415,801","7,976,272","146,825","59,078","12,177","104,987","25,923,758"
"42,029,155","213,117","130,914",–,–,–,–,"42,373,186"
"29,761,587","2,183","6,040","2,954",–,–,–,"29,772,764"
"88,999,360","631,101","8,113,226","149,779","59,078","12,177","104,987","98,069,708"
"17,718,146","99,112","3,975,527","62,399",178,"422,010","251,418","22,528,790"
"106,717,506","730,213","12,088,753","212,178","59,256","434,187","356,405","120,598,498"
"36,682,563","601,299","2,615,414","161,813","4,001","2,917","57,385","40,125,392"
"31,647,955",–,"5,213,391",–,–,–,–,"36,861,346"
"5,909,095","67,321","22,961",4,(9),–,"4,271","6,003,643"
"74,239,613","668,620","7,851,766","161,817","3,992","2,917","61,656","82,990,381"
"32,880,666","60,114","3,990,999","62,399",–,"422,010","240,145","37,656,333"
"107,120,279","728,734","11,842,765","224,216","3,992","424,927","301,801","120,646,714"
"(402,773)","1,479","245,988","(12,038)","55,264","9,260","54,604","(48,216)"
