"5,195,837",Column,Column,"4,243,146",Column,Column,"28,557,817",Column,Column,"37,996,800",Column,Column,Column
"7,834,304",,,"14,745,662",,,"1,007,869",,,"23,587,835",,,
"(1,342,849)",,,"(9,535,006)",,,"(6,656,536)",,,"(17,534,391)",,,
"174,570",,,"(100,457)",,,"(74,113)",,,-,,,
"(334,381)",,,"543,749",,,"(209,368)",,,,,,-
"(3,308,639)",,,"(209,829)",,,"3,518,468",,,,,,-
-,,,-,,,"(1,440",,",805)",,"(1,","440,805",)
"37,096",,,"87,004",,,64,,",585",,,"188,68",5
"8,255,938",,,"9,774,269",,,"24,767",,",917",,42,",798,12",4
"300,367,699",,,"38,870,313",,,"41,337",,",266",,380,",575,27",8
,,,,,,,"St
Lifetim
KShs","age 3
e ECL
’000",,,"Tot
KShs’00",
"52,226,074",,,,,-,,,-,,52,",226,07",4
"63,339",,,,,-,,,-,,,"63,33",9
"52,162,73",,5,,-,,,,-,,52,",162,73",5
"220,217,65",,9,,,-,,,-,,22,"0,217,65",9
1,",747,97",4,,,-,,,-,,,"1,747,97",4
218,",469,68",5,,,-,,,-,,218,",469,68",5
35,",151,20",3,,,-,,,-,,35,",151,20",3
,"82,76",5,,,-,,,-,,,"82,76",5
35,",068,43",8,,,-,,,-,,35,",068,43",8
,,,,,,,,,,,1,
