Kshs. Billions (except for EPS),Q22017,Q22016,% Change (Y/Y),Column,FY2016
Interest Income,19.3,21.5,-10.3%,,42.3
Interest Expense,5.8,7.0,-16.7%,,12.8
Net Interest Income,13.4,14.5,-7.2%,,29.5
Fees & Commissions,5.3,5.0,6.1%,,9.8
Forex Income,1.2,1.0,28.3%,,1.8
Other Income,0.6,0.9,-34.7%,,1.2
Total Operating Income,20.5,21.3,-3.7%,,42.3
Loan Loss Provision,1.5,1.3,15.2%,,2.6
Staff Costs,4.7,4.3,8.7%,,9.4
Other Operating Expenses,5.1,5.3,-3.7%,,12.6
Profit Before Tax and Exceptional Items,9.2,10.3,-11.3%,,17.6
Exceptional Items,-,-,-,-,0.004
Share of profit of associate,0.1,0.1,-5.3%,,0.1
Profit Before Tax,9.3,10.4,-11.3%,,17.7
Tax,2.6,3.0,-13.3%,,5.0
Profit After Tax,6.6,7.4,-10.4%,,12.7
Basic EPS*,1.1,1.5,-25.4%,,2.6
