Case Number,Brief facts of the case,Current position
,"This is a claim by the bank, for Kshs
55,241,344.45 being outstanding amount
owed to the Bank by the debtor in respect
of a loan granted to the defendant.",
,"This is a matter related to number 1 above.
It is a claim by ARESCO Limited
(Guarantor to Seven Fourteen Limited)
against the Bank seeking an INJUNCTION
against sale of the Bank’s security Title
Number Ngong/Ngong/12516.",
,"This is a suit against the bank seeking an
injunction to stop the sale of Bank’s
security. The Bank’s claim against the
plaintiff is KShs72,903,190.30",
,"This is a claim against the bank seeking an
injunction against sale of Bank security.
The bank’s claim against the debtors is
Kshs193,814,764.25",
,"This is a claim by Thika Coffee Mills against
Gakuyu Farmers Co-op Society Limited, the
Bank and Coffee Board. The Bank sought to
be enjoined to safeguard its interests in
view of the indebtedness of Gakuyu
Farmers Cooperative Society Limited to the
Bank (in the sum of Kshs 49,140,020.90",
