Column,"Actual
FY-2016","Projections
FY 2017"
Profit Before Tax Growth,15.2%,NIL
Loans & Advances Growth,13.6%,12%
Deposits Growth,-2.0%,12%
Cost to Income Ratio,52.1%,50%
Non Funded to Total Income,30.2%,34%
Return On Average Equity (ROAE),22.7%,20%
Return On Average Assets (ROAA),3.7%,3.5%
Non Performing Loans (NPL),4.3%,4.5%
Cost of funds,4.5%,4.5%
Net Interest Margin (NIM),10.5%,9.5%
Cost of risk,1.2%,1.3%
