2020,2020,2019
KShs’000,KShs’000,KShs’000
,(Regulator adjusted),
"5,867,180","5,867,180","5,867,180"
"1,911,925","1,911,925","1,911,926"
"69,602,038","62,526,299","60,096,268"
"424,938","424,938","443,416"
"(7,239,806)","(7,239,806)","(5,548,350)"
"70,566,276","63,490,536","62,770,440"
"329,159","329,159","337,920"
"6,550,308","6,550,308",
-,-,"1,603,621"
"6,879,467","6,879,467","1,941,541"
"77,445,743","70,370,004","64,711,981"
"455,847,214","455,847,214","410,346,536"
19.1%,17.2%,19.00%
15.5%,13.9%,15.30%
17.0%,15.4%,15.80%
