Column,Q2 - 2015,Q2 - 2014,FY - 2014
Cost to Income (Including Provisions),51.1%,58.4%,62.6%
Cost to Income(Excluding Provisions),47.3%,55.9%,59.0%
Cost of funds,3.62%,3.43%,3.38%
Staff Cost to Total Income,21.8%,25.0%,26.3%
Debt to Equity,39.7%,33.8%,42.2%
Average Return on Equity,28.6%,25.6%,20%
Average Return on assets,4.2%,3.8%,3.1%
FX to Non Funded income,16.9%,14.8%,13.1%
Non - Funded to Total Income,33.6%,38.6%,33.7%
Net Interest Margin,9.3%,9.5%,9.8%
Effective Corporate Tax Rate,30%,30%,30%
