BRANCHES,POSTAL ADDRESS,LANDLINE,EMAIL ADDRESS
"37 Nacico, Nbi",8666-00300 Nairobi,020-2227222,
38 Naivasha,1180-20117 Naivasha,050-2030137,
39 Nakuru,20100-2982 Nakuru,051-2211574,
40 Nkubu,740-60202 Nkubu,054-51045,
"41 Nkrumah Rd-
Mombasa",87771-80100 Mombasa,041-2315376,
42 Nyahururu,307-20300 Nyahururu,065-32132,
43 Nyeri,12253/1032-10100 Nyer,i 061-2030815,
44 Parliament Rd,5772-00200 Nairobi,020-2225370,
45 Ongata Rongai,470-00511 Ongata Rong,ai 045-24403,
"46 Stima Plaza, Nbi",38764-00600 Nairobi,020-2135007,
47 Thika,1815-01000 Thika,067-21815,
48 Ukulima,74956-00200 Nairobi,020-2221240,
49 Ukunda,568-80400 Ukunda,040-3203832,
50 University Way,60800-00200 Nairobi,020-2225400,
51 Voi,770-80300 Voi,0728-608031,
"52 Wakulima
Market, Nbi",43071- 00100 Nairobi,020-2211318,
53 Westlands,66589-00800 Nairobi,020-4440567,
AGENCIES,,,
1 Kilgoris Agency,40200-2469 Kisii,058-31509,
2 Makutano Agency,60200-1328 Meru,064-20421,
3 Malaba Agency,1964-50200 Bungoma,055-54095,
4 Mbita Agency,406-40300 Homa-Bay,020-2311914,
OTHER OUTLETS,,,
"1 Co-operative Bank
Management Centr","15355-00509 Nairobi
e",020-891187,
2 Call Centre,48231-00100 Nairobi,020-2776000,
3 Card Centre,21831-00400 Nairobi,020-3276600,
4 Kilindini Port,87771-80100 Mombasa,041-2312292,
