"7,278,636","208,273",Column,"7,486,909",Column,Column
"2,869,518","69,902",,"2,939,420",,
-,-,,-,,
"(2,030)",-,,"(2,030)",,
"(54,627)",-,,"(54,627)",,
"10,091,497","278,175",,"10,369,672",,
"4,667,789","160,983",,"4,828,772",,
"1,411,955","47,840",,"1,459,795",,
"2,030",-,,"2,030",,
-,-,,,,-
"6,081,774","208,823",,"6,290",,",597"
"4,009,723","69,",352,,"4,079",",075"
