ASSETS,Column,Column,Column,Column,Column,Column,Column
"Cash and balances with
Central Bank of Kenya",–,–,–,–,–,"24,307,459","24,307,459"
"Deposits and balances
due from banks","6,795,980","40,883",–,–,–,–,"6,836,863"
"Investment in financial
instruments","4,959,477","986,007","7,385,304","38,774,953","98,805,322",–,"150,911,063"
"Loans and advances to
customers","7,986,253","10,067,698","32,262,181","122,774,844","158,232,062",–,"331,323,038"
Total assets,,,,,,,
,"19,741,710","11,094,588","39,647,485","161,549,797","257,037,384","24,307,459","513,378,423"
LIABILITIES,,,,,,,
"Deposits and balances
due to banks","981,637",–,–,–,–,–,"981,637"
Customers’ deposits,"70,342,519","54,886,659","43,679,996",200,–,"241,278,480","410,187,854"
Loans and borrowings,"2,799,967",–,"1,728,367","9,806,500","10,549,630",–,"24,884,464"
Lease liabilities,"77,242","154,484","695,178","897,665","1,097,146",–,"2,921,715"
Total liabilities,"74,201,365","55,041,143","46,103,541","10,704,365","11,646,776","241,278,480","438,975,670"
Interest sensitivity gap,"(54,459,655)","(43,946,555)","(6,456,056)","150,845,432","245,390,608","(216,971,021)","74,402,753"
