Column,"Actual
Q2 2017","Projections
FY 2017"
Profit Before Tax Growth,-11.3%,Flat growth
Loans & Advances Growth,14.2%,12%
Deposits Growth,2.7%,12%
Cost to Income Ratio,47.9%,50%
Non Funded to Total Income,34.6%,35%
Return On Average Equity (ROAE),21.7%,20%
Return On Average Assets (ROAA),3.6%,3.5%
Non Performing Loans (NPL),4.5%,4.5%
Cost of funds,3.9%,4%
Net Interest Margin (NIM),9.0%,9%
Cost of risk,1.3%,1.3%
