GROUP,Column,KINGDOM BANK,Column,CO-OP BANK
30-Jun-24,"31-M ar-24 31-Dec-23 30-Jun-23
KSHS.'000 KSHS.'000 KSHS.'000
(Un-audited) Audited (Un-audited)
12,814,412 10,372,273 10,925,668
21,052,994 22,120,397 9,877,325
- -
- - -
102,966,050 90,352,052 90,579,871
- - -
97,246,722 98,695,811 97,884,026
1,700,226 1,775,185 1,783,185
10,223,522 10,220,865 29,865,830
35,490,808 17,054,265 7,201,987
654,776 598,214
378,101,298 374,227,421 365,387,780
- -
2,943,934 2,711,086 2,605,977
- - -
- - -
- - -
10,821,079 11,127,243 9,463,494
31,931 32,083 32,388
5,940,920 5,964,704 6,047,111
6,388,527 6,338,746 6,652,749
- - -
28,949,511 19,484,376 26,040,493",30-Jun-24,"31-Mar-24 31-Dec-23 30-Jun-23
KSHS.'000 KSHS.'000 KSHS.'000
(Un-audited) Audited (Un-audited)
744,899 735,430 539,920
1,012,500 1,232,174 525,762
- -
- -
7,396,041 7,396,041 7,477,698
- -
13,555,823 13,563,745 14,534,564
- -
1,338,528 527,343 1,193,347
443,301 272,647 52,691
- - 109
10,358,326 9,816,134 8,121,434
- -
10,916 10,916 12,640
255,039 255,039 6,039
- - -
- - -
1,165,163 1,093,073 1,006,459
- -
26,180 31,235 97,000
129,511 129,511 351,903
- -
1,367,676 1,657,110 1,964,569",30-Jun-24
KSHS.'000,,KSHS.'000,,KSHS.'000
(Un-audited),,(Un-audited),,(Un-audited)
"11,107,688",,"731,830",,"6,830,365"
"26,808,722",,"1,493,312",,"25,315,410"
-,,-,,-
-,,-,,-
"106,628,629",,"7,396,041",,"99,232,588"
-,,-,,-
"95,597,668",,"12,394,736",,"82,860,216"
"1,750,670",,-,,"1,733,630"
"19,676,142",,"1,116,522",,"14,924,391"
"26,599,725",,"210,264",,"26,432,093"
,,-,,-
"375,629,469",,"10,948,326",,"360,933,934"
-,,-,,-
"3,143,836",,"10,916",,"706,444"
-,,"255,039",,"3,884,925"
-,,-,,-
-,,-,,-
"11,075,323",,"1,214,404",,"9,172,480"
"31,778",,-,,"31,778"
"5,739,802",,"21,126",,"2,386,544"
"6,541,482",,"129,511",,"6,443,920"
-,,-,,-
"26,594,238",,"1,605,713",,"24,213,101"
"716,925,172","714,671,934 671,131,286 664,946,098","37,527,740","37,803,903 36,720,398 35,884,135","665,101,820"
,"- - -
481,757,119 451,642,048 463,874,168
17,449,729 4,457,255 2,204,178
2,383,124 23 1,409,422
- - -
60,059,674 67,334,316 59,369,099
- - -
2,561,139 -
- - -
- - -
- - -
24,748,425 34,018,543 29,522,131",,"1,268,187 2,282,595 1,409,349
14,941,927 12,296,313 11,214,653
- -
- -
- -
19,172,388 19,859,303 20,401,812
- -
185,873 185,873 -
- -
- -
- -
496,444 619,556 606,882",
-,,"1,068,829",,-
"507,391,376",,"17,437,699",,"484,248,337"
"4,801,688",,-,,"4,801,688"
"1,835,811",,-,,"1,361,443"
-,,-,,-
"50,217,353",,"16,551,769",,"32,683,703"
-,,-,,-
"286,586",,"36,556",,"265,755"
-,,-,,-
-,,-,,-
-,,-,,-
"25,262,727",,"248,890",,"23,198,804"
"589,795,541","588,959,210 557,452,186 556,378,998","35,343,743","36,064,819 35,243,640 33,632,696","546,559,731"
,"5,867,180 5,867,180 5,867,180
1,911,925 1,911,925 1,911,925
1,392,042 1,624,156 1,549,438
119,459,891 111,887,778 109,756,467
30,364 53,490 66,210
(10,727,896) (16,956,216) (11,249,983)
8,800,770 8,800,770 -
364,893 369,512 378,750",,"1,867,947 1,867,947 1,867,947
3,087,449 3,087,449 3,087,449
- - -
(1,168,748) (1,496,645) (1,629,885)
- - -
(2,047,564) (1,981,993) (1,074,072)
- - -
- - -",
"5,867,180",,"1,867,947",,"5,867,180"
"1,911,925",,"3,087,449",,"1,911,925"
"1,375,901",,-,,"1,448,823"
"124,854,487",,"(1,065,565)",,"114,925,509"
"75,645",,-,,-
"(7,742,140)",,"(1,705,834)",,"(5,971,623)"
-,,-,,-
"360,274",,-,,"360,274"
"126,703,272","127,099,170 113,558,596 108,279,987","2,183,997","1,739,084 1,476,758 2,251,439","118,542,088"
"426,359","(1,386,446) 120,504 287,113",-,- - -,-
"716,925,172","714,671,934 671,131,286 664,946,098","37,527,740","37,803,903 36,720,398 35,884,135","665,101,820"
GROUP,,KINGDOM BANK,,CO-OP BANK
30-Jun-24,"31-Mar-24 31-Dec-23 30-Jun-23
KSHS.'000 KSHS.'000 KSHS.'000
(Un-audited) Audited (Un-audited)
12,446,509 44,853,706 21,027,727
6,231,005 23,132,315 10,542,105
736,436 1,080,048 418,030
- - 2,599",30-Jun-24,"31-Mar-24 31-Dec-23 30-Jun-23
KSHS.'000 KSHS.'000 KSHS.'000
(Un-audited) Audited (Un-audited)
342,313 986,263 426,536
663,197 2,703,597 1,345,870
15,986 45,912 3,687
- 2,599 2,599",30-Jun-24
KSHS.'000,,KSHS.'000,,KSHS.'000
(Un-audited),,(Un-audited),,(Un-audited)
"25,635,618",,"674,246",,"24,548,225"
"12,600,279",,"1,301,753",,"11,298,526"
"1,564,270",,"65,705",,"909,608"
-,,-,,-
"39,800,167","19,413,950 69,066,068 31,990,461","2,041,704","1,021,496 3,738,371 1,778,692","36,756,360"
,"6,386,834 18,228,414 8,315,466
300,885 1,246,586 140,313
1,025,496 4,360,186 1,988,165",,"368,187 905,937 370,437
21,270 21,021 7,342
4,243 18,607 9,684",
"13,573,177",,"839,761",,"12,715,472"
"357,051",,"22,189",,"334,862"
"2,012,398",,"57,776",,"1,954,622"
"15,942,627","7,713,215 23,835,187 10,443,944","919,726","393,700 945,565 387,463","15,004,957"
,"11,700,735 45,230,881 21,546,517
2,891,917 12,254,271 6,245,893
2,565,206 10,125,725 5,573,194
1,443,762 3,181,189 1,764,979
8,317 86,339
166,162 900,563 154,065",,"627,796 2,792,806 1,391,229
32,944 154,457 69,896
44,061 191,763 77,917
15,504 105,366 81,371
- -
4,540 15,498 1,188",
"23,857,540",,"1,121,978",,"21,751,403"
"6,026,497",,"82,138",,"5,944,359"
"6,316,468",,"94,159",,"5,006,300"
"2,649,075",,"38,525",,"2,339,257"
"25,380",,-,,-
"357,491",,"39,053",,"226,781"
