Notes,"2023
KShs‘000","2022
KShs‘000"
34,"69,066,068","61,744,896"
34,–,"1,227"
35,"(23,844,906)","(16,421,337)"
,"45,221,162","45,324,786"
36,"22,379,996","20,079,339"
36,"(143,141)","(341,229)"
,"22,236,855","19,738,110"
37,"3,181,189","4,717,291"
28,"18,476","18,476"
38,"1,025,228","1,256,058"
,"4,224,893","5,991,825"
,"71,682,910","71,054,721"
13(b),"(6,008,158)","(8,547,524)"
41,"575,475","(439,057)"
17(a),"(978,123)","(805,223)"
18,(610),(609)
19(a),"(1,315,595)","(1,220,009)"
20(i),"(1,461,825)","(1,165,304)"
39,"(16,690,249)","(14,782,536)"
40,"(13,785,702)","(15,083,378)"
,"(39,664,787)","(42,043,640)"
,"32,018,123","29,011,081"
16,"345,725","416,141"
,"32,363,848","29,427,222"
25(a),"(9,175,483)","(7,389,055)"
,"23,188,365","22,038,167"
,"23,023,816","21,829,894"
,"164,549","208,273"
,"23,188,365","22,038,167"
42,3.92,3.72
42,3.92,3.72
